来源作者,期刊,年度(期),标题,作者,机构,下载量,页码,页数,大小
彭红枫1,世界经济 .,"2021 ,44 (01)",对外直接投资与出口产品质量升级:来自中国的经验证据,"余静文1,2 彭红枫3 李濛西4",1.武汉大学经济发展研究中心 2.华润金控投资有限公司 3.山东财经大学金融学院 4.武汉大学经济与管理学院,下载：8766,页码：54-80,页数：27,大小：482K
彭红枫1,山东教育(高教) .,2020 (12),金融类专业课程思政的理论思考及实践,冯林 梁巧慧 彭红枫,山东财经大学金融学院,下载：996,页码：32-33,页数：2,大小：1703K
彭红枫1,金融研究 .,2020 (10),贸易摩擦、宏观经济波动与经济开放程度的选择,肖祖沔 彭红枫 向丽锦,山东财经大学金融学院,下载：2174,页码：74-91,页数：18,大小：1191K
彭红枫1,国际贸易问题 .,2020 (09),分类资本账户开放、制度质量与经济增长,"彭红枫1,2 商璨1 肖祖沔2",1.武汉大学经济与管理学院 2.山东财经大学金融学院,下载：1248,页码：129-143,页数：15,大小：481K
彭红枫1,世界经济研究 .,2020 (09),新中国70年对外贸易发展及其对经济增长的贡献:历程、机理与未来展望,尹智超 彭红枫,山东财经大学金融学院,下载：4997,页码：19-37+135,页数：20,大小：2888K
彭红枫1,管理科学学报 .,"2020 ,23 (08)",利率平价偏离、资本账户开放与经济波动——基于小国DSGE模型的分析,彭红枫1 邓贵川2,1.山东财经大学金融学院 2.中山大学国际金融学院,下载：1427,页码：1-18,页数：18,大小：1979K
彭红枫1,中南财经政法大学学报 .,2020 (03),投贷联动、系统风险与资本顺周期效应,黄柏翔1 何恭政2 彭红枫3,1.清华大学五道口金融学院 2.中南财经政法大学金融学院 3.山东财经大学金融学院,下载：690,页码：88-96,页数：9,大小：144K
彭红枫1,系统工程理论与实践 .,"2020 ,40 (06)",基于全球价值链的中国出口国内增加值需求理论测度及特征研究,彭红枫 刘海莹 肖祖沔,山东财经大学金融学院,下载：1043,页码：1557-1577,页数：21,大小：3261K
彭红枫1,国际金融研究 .,2020 (01),“逆周期因子”提高了人民币汇率中间价的市场基准地位吗？——基于时变溢出指数的实证研究,"彭红枫1,2 李鹤然2 罗宁欣2",1.山东财经大学金融学院 2.武汉大学经济与管理学院金融系,下载：1947,页码：65-75,页数：11,大小：1904K
彭红枫1,经济研究 .,"2019 ,54 (08)",短期资本流动的多重动机和冲击:基于TVP-VAR模型的动态分析,彭红枫1 祝小全2,1.山东财经大学金融学院 2.清华大学五道口金融学院,下载：10174,页码：36-52,页数：17,大小：3859K
彭红枫1,世界经济 .,"2019 ,42 (06)",货币国际化、定价货币变动与经济波动,邓贵川1 彭红枫2,1.中山大学国际金融学院 2.山东财经大学金融学院,下载：2973,页码：20-46,页数：27,大小：2782K
彭红枫1,国际金融研究 .,2019 (02),资本账户开放、金融稳定与经济增长,彭红枫1 朱怡哲2,1.山东财经大学金融学院 2.清华大学五道口金融学院,下载：4456,页码：3-12,页数：10,大小：694K
彭红枫1,金融研究 .,2018 (11),言之有物:网络借贷中语言有用吗?——来自人人贷借款描述的经验证据,彭红枫1 林川2,1.山东财经大学金融学院 2.香港大学经济及工商管理学院,下载：1997,页码：133-152,页数：20,大小：219K
彭红枫1,世界经济研究 .,2018 (11),人民币中间价定价机制改革效果评估与展望,彭红枫 罗宁欣 李鹤然,武汉大学经济与管理学院金融系,下载：879,页码：29-43+135-136,页数：17,大小：2067K
彭红枫1,珞珈管理评论 .,2018 (04),网络借贷中“语言”的魅力——来自人人贷平台文本挖掘的证据,邓贵川 彭红枫 林川,武汉大学经济与管理学院,下载：199,页码：55-78,页数：24,大小：235K
彭红枫1,东南大学学报(哲学社会科学版) .,"2018 ,20 (05)",学习与模仿:众筹融资市场中的理性与非理性羊群行为,彭红枫1 林川2,1.山东财经大学金融学院 2.香港大学经济及工商管理学院,下载：890,页码：91-103+147,页数：14,大小：196K
彭红枫1,金融论坛 .,"2018 ,23 (09)",P2P网络借贷平台的利率定价合理吗?——基于“人人贷”的经验证据,彭红枫 徐瑞峰,武汉大学经济与管理学院,下载：1614,页码：61-80,页数：20,大小：663K
彭红枫1,科技进步与对策 .,"2018 ,35 (15)",外商直接投资与经济增长对碳排放的影响——来自地区面板数据的实证,彭红枫 华雨,武汉大学经济与管理学院,下载：1599,页码：23-28,页数：6,大小：222K
彭红枫1,世界经济 .,"2018 ,41 (08)",汇率市场化与资本账户开放的路径选择,彭红枫1 肖祖沔1 祝小全2,1.山东财经大学金融学院 2.清华大学五道口金融学院,下载：2835,页码：26-50,页数：25,大小：1386K
彭红枫1,国际金融研究 .,2018 (06),机构关联、网络结构与银行业系统性风险传染——基于VAR-NETWORK模型的实证分析,胡利琴1 胡蝶1 彭红枫2,1.武汉大学经济与管理学院 2.山东财经大学金融学院,下载：2529,页码：53-64,页数：12,大小：1565K
彭红枫1,中国经济问题 .,2018 (02),众筹参与者是“凑热闹”还是“真投资”——社会资本视角下基于“众筹网”的经验证据,彭红枫 林川,武汉大学经济与管理学院,下载：793,页码：83-101,页数：19,大小：270K
彭红枫1,武汉大学学报(哲学社会科学版) .,"2018 ,71 (02)",资本账户开放:影响因素与国际经验,彭红枫1 谭小玉2 占海伟2,1.山东财经大学金融学院 2.武汉大学经济与管理学院,下载：1294,页码：119-129,页数：11,大小：451K
彭红枫1,世界经济 .,"2017 ,40 (11)",货币国际化:基于成本渠道的影响因素和作用路径研究,彭红枫1 谭小玉1 祝小全2,1.武汉大学经济与管理学院 2.清华大学五道口金融学院,下载：2512,页码：120-143,页数：24,大小：391K
彭红枫1,金融研究 .,2017 (09),异常波动停牌对股价波动性和流动性的影响研究——来自我国取消异常波动停牌的自然实验,胡婷 惠凯 彭红枫,武汉大学经济与管理学院,下载：2853,页码：146-160,页数：15,大小：202K
彭红枫1,统计研究 .,"2017 ,34 (09)",供给侧改革背景下需要将PPI纳入通货膨胀目标吗,彭红枫 肖祖沔,武汉大学经济与管理学院,下载：625,页码：3-15,页数：13,大小：540K
彭红枫1,外国经济与管理 .,"2017 ,39 (05)",抱团是否可以取暖?——群组制度对P2P借贷行为的影响研究,彭红枫 杨柳明,武汉大学经济与管理学院,下载：522,页码：85-99,页数：15,大小：1066K
彭红枫1,财贸经济 .,"2017 ,38 (05)",信息不对称、信号质量与股权众筹融资绩效,彭红枫1 米雁翔2,1.武汉大学经济与管理学院金融系 2.武汉大学经济与管理学院,下载：2102,页码：80-95,页数：16,大小：437K
彭红枫1,经济研究 .,"2017 ,52 (02)",人民币国际化研究:程度测算与影响因素分析,彭红枫 谭小玉,武汉大学经济与管理学院金融系,下载：14529,页码：125-139,页数：15,大小：729K
彭红枫1,中央财经大学学报 .,2016 (09),基于演化博弈的金融创新与激励型监管关系研究,彭红枫1 杨柳明2 王黎雪2,1.武汉大学经济与管理学院 2.武汉大学经济与管理学院金融系,下载：1387,页码：92-100,页数：9,大小：210K
彭红枫1,当代经济科学 .,"2016 ,38 (05)",地域差异如何影响P2P平台借贷的行为——基于“人人贷”的经验证据,彭红枫 杨柳明 谭小玉,武汉大学经济与管理学院,下载：1128,页码：21-34+124-125,页数：16,大小：2096K
彭红枫1,系统工程理论与实践 .,"2016 ,36 (08)",货币供应量与通货膨胀的关联性:基于时间和频率双视角,彭红枫 赵海燕,武汉大学经济与管理学院金融系,下载：393,页码：1905-1917,页数：13,大小：3359K
彭红枫1,现代管理科学 .,2016 (08),民企的董事关联与融资约束,"彭红枫1,2 张晓3 谭华清4",1.武汉大学经济与管理学院金融系 2.中国金融工程学会 3.武汉大学经济与管理学院 4.北京大学国家发展研究院,下载：307,页码：106-108,页数：3,大小：105K
彭红枫1,金融发展研究 .,2016 (07),基于新监管框架的中国股权众筹的“热发展”与“冷思考”,彭红枫 赵海燕,武汉大学经济与管理学院,下载：290,页码：31-37,页数：7,大小：938K
彭红枫1,武汉大学学报(哲学社会科学版) .,"2016 ,69 (04)",P2P网络借贷研究述评,彭红枫 刘歆茹,武汉大学经济与管理学院,下载：1237,页码：72-78,页数：7,大小：129K
彭红枫1,金融与经济 .,2016 (05),我国众筹的困境与出路——美国JOBS法案的经验借鉴,彭红枫1 米雁翔2,1.武汉大学经济与管理学院金融系 2.武汉大学经济与管理学院,下载：853,页码：52-57,页数：6,大小：1423K
彭红枫1,中国管理科学 .,"2016 ,24 (05)",外资银行的进入对我国信贷市场贷款价格的影响,彭红枫1 陈文博1 蒋延军2,1.武汉大学经济与管理学院金融系 2.平安银行总行,下载：640,页码：8-17,页数：10,大小：318K
彭红枫1,保险研究 .,2016 (05),互联网保险的期权定价框架——基于Monte Carlo数值模拟分析,彭红枫 肖祖沔,武汉大学经济与管理学院,下载：965,页码：36-47,页数：12,大小：2037K
彭红枫1,金融研究 .,2016 (04),借款陈述会影响借款成本和借款成功率吗?——基于网络借贷陈述的文本分析,彭红枫 赵海燕 周洋,武汉大学经济与管理学院,下载：4251,页码：158-173,页数：16,大小：155K
彭红枫1,国际金融研究 .,2015 (11),汇率预期对出口价格的传递效应——基于结构变化协整检验的分析,李艳丽1 彭红枫2 胡利琴2,1.武汉大学经济与管理学院 2.武汉大学经济与管理学院金融系,下载：1415,页码：77-87,页数：11,大小：631K
彭红枫1,国际金融研究 .,2015 (10),人民币国际化研究述评,彭红枫 陈文博 谭小玉,武汉大学经济与管理学院金融系,下载：9217,页码：12-20,页数：9,大小：404K
彭红枫1,中国管理科学 .,"2015 ,23 (05)",中国铜期货市场最优套期保值比率估计——基于马尔科夫区制转移GARCH模型,彭红枫 陈奕,武汉大学经济与管理学院,下载：2964,页码：14-22,页数：9,大小：308K
彭红枫1,世界经济研究 .,2015 (01),亚洲货币合作和人民币区域化进程——基于带傅里叶变换的SURADF实证研究,彭红枫 谭小玉 陈文博 李艳丽,武汉大学经济与管理学院,下载：1221,页码：36-47+127,页数：13,大小：523K
彭红枫1,金融研究 .,2014 (10),人民币汇率对出口价格的传递效应——考虑预期与结构变化的分析,李艳丽 彭红枫,武汉大学经济与管理学院金融系,下载：1503,页码：69-85,页数：17,大小：1277K
彭红枫1,当代经济科学 .,"2014 ,36 (05)",银行关系、政治关联与信贷资源配置效率——基于我国上市公司的实证分析,彭红枫 张韦华 张晓,武汉大学经济与管理学院,下载：1219,页码：52-60+126,页数：10,大小：134K
彭红枫1,经济评论 .,2014 (05),中国通货膨胀持续性研究——基于面板数据的SURADF实证检验,彭红枫 谭小玉 李艳丽 胡利琴,武汉大学经济与管理学院,下载：444,页码：108-122,页数：15,大小：851K
彭红枫1,国际金融研究 .,2014 (07),中国外汇市场压力与货币政策——基于TVP-VAR模型的实证研究,胡利琴 彭红枫 李艳丽,武汉大学经济与管理学院金融系,下载：4712,页码：87-96,页数：10,大小：863K
彭红枫1,中国管理科学 .,"2013 ,21 (S1)",套期保值中动态调仓的相机抉择,彭红枫 陈奕,武汉大学经济与管理学院金融系,下载：412,页码：321-327,页数：7,大小：1009K
彭红枫1,技术经济 .,"2013 ,32 (08)",银行关系、政治关联与上市公司银行贷款的可获得性——基于我国上市公司的实证分析,彭红枫 张韦华 张晓,武汉大学经济与管理学院,下载：798,页码：87-94+124,页数：9,大小：618K
彭红枫1,管理世界 .,2012 (11),我国银行业宏观审慎监管与微观审慎监管协调问题研究,胡利琴 彭红枫 彭意,武汉大学经济与管理学院,下载：2205,页码：174-175,页数：2,大小：162K
彭红枫1,中国管理科学 .,"2011 ,19 (06)",基于还款能力和还款意愿的贷款定价模型研究,彭红枫 叶永刚,武汉大学经济与管理学院,下载：1901,页码：40-47,页数：8,大小：269K
彭红枫1,中国管理科学 .,"2011 ,19 (04)",汇率对FDI的影响:基于实物期权的理论分析与中国的实证,彭红枫,武汉大学经济与管理学院,下载：1199,页码：60-67,页数：8,大小：243K
彭红枫1,技术经济 .,"2011 ,30 (02)",碳税对我国区域经济发展的影响,彭红枫 吴阳,武汉大学经济与管理学院,下载：922,页码：88-92,页数：5,大小：236K
彭红枫1,世界经济研究 .,2011 (02),外商直接投资的动态挤入挤出效应——基于全国及地区差异的分析和检验,彭红枫 鲁维洁,武汉大学经济与管理学院金融系,下载：1342,页码：59-64+88-89,页数：8,大小：426K
彭红枫1,管理世界 .,2010 (11),中国金融市场基准利率的选择研究,彭红枫 鲁维洁,武汉大学经济与管理学院,下载：2028,页码：166-167,页数：2,大小：195K
彭红枫1,武汉理工大学学报(信息与管理工程版) .,"2010 ,32 (03)",我国股票期权激励优化设计实证研究,刘思施 彭红枫,武汉大学经济与管理学院,下载：318,页码：494-497,页数：4,大小：123K
彭红枫1,国际贸易问题 .,2010 (06),人民币升值能否减少美中贸易逆差,彭红枫,武汉大学经济与管理学院,下载：1543,页码：3-10,页数：8,大小：1026K
彭红枫1,中国管理科学 .,"2009 ,17 (02)",基于资本监管要求和还款意愿的贷款定价研究,彭红枫 叶永刚,武汉大学经济与管理学院,下载：866,页码：8-14,页数：7,大小：272K
彭红枫1,技术经济 .,"2009 ,28 (01)",中国大豆期货市场最优套期保值比率的实证研究,彭红枫 胡聪慧,武汉大学经济与管理学院,下载：1890,页码：62-66,页数：5,大小：163K
彭红枫1,武汉大学学报(哲学社会科学版) .,2007 (06),中国铜期货最优套期保值比率估计及其比较研究,彭红枫 叶永刚,武汉大学经济与管理学院,下载：2009,页码：863-868,页数：6,大小：236K
彭红枫1,经济评论 .,2007 (06),境外中国股指类衍生品市场的发展对境内证券市场的影响研究,彭红枫,武汉大学经济与管理学院,下载：416,页码：119-124,页数：6,大小：53K
彭红枫1,经济管理 .,2007 (20),关于人民币远期定价权问题的研究,彭红枫 胡利琴,武汉大学经济与管理学院,下载：625,页码：28-33,页数：6,大小：364K
彭红枫1,中国管理科学 .,2007 (05),基于修正的ECM-GARCH模型的动态最优套期保值比率估计及比较研究,彭红枫 叶永刚,武汉大学经济与管理学院,下载：3968,页码：29-35,页数：7,大小：328K
彭红枫1,科学学与科学技术管理 .,2007 (06),基于多层次资本市场的科技创新支持体系研究,彭红枫,武汉大学经济与管理学院,下载：971,页码：118-121,页数：4,大小：115K
彭红枫1,经济问题 .,2006 (10),商业银行贷款定价理论的分析,彭红枫 胡利琴,武汉大学经济与管理学院,下载：488,页码：71-73,页数：3,大小：65K
彭红枫1,生产力研究 .,2006 (08),浅析可转换债券在我国国有股减持中的作用,彭红枫 王金晶,武汉大学商学院,下载：169,页码：207-208,页数：2,大小：38K
彭红枫1,中国货币市场 .,2003 (08),VaR在证券投资基金风险管理中的应用研究,叶永刚 彭红枫,"武汉大学商学院金融系,武汉大学商学院金融系,",下载：7,页码：54-56,页数：3,大小：1297K
彭红枫1,科技与管理 .,2003 (01),R&D项目评估方法研究,彭红枫,武汉大学商学院 湖北武汉430072,下载：193,页码：33-34,页数：2,大小：145k
彭红枫1,中国地质矿产经济 .,2002 (09),用实物期权法评估矿产资源开发项目投资价值,"彭红枫,郭海健","武汉大学商学院,湖北地矿建设工程集团 湖北武汉430072 ,湖北武汉430022",下载：218,页数：5,大小：41k,
彭红枫1,价值工程 .,2001 (05),预交定金型购销合同的期权分析,"彭红枫,郭海健","华中科技大学经济学院!武汉430070,湖北地矿建设工程承包有限公司!武汉430070",下载：90,页码：38-39,页数：2,大小：50k
彭红枫1,管理现代化 .,2001 (01),亚洲式股票期权——一种激励企业经营者的新工具,"彭红枫,郭海健","华中科技大学经济学院!湖北武汉,湖北地矿建设工程承包有限公司!430022",下载：108,页码：29-30,页数：2,大小：23k
彭红枫1,中国地质矿产经济 .,2001 (01),矿产资源开采时机选择的期权分析,"彭红枫,郭海健","华中科技大学经济学院,湖北地矿建设工程承包有限公司",下载：112,页数：2,大小：13k,
彭红枫1,测绘软科学研究 .,2000 (02),论邓小平管理理论及思想,"孙慧敏,彭红枫","武汉测绘科技大学!武汉430070,武汉测绘科技大学!武汉430070",下载：47,页码：17-20,页数：4,大小：258k
谭小玉1,武汉大学学报(哲学社会科学版) .,"2018 ,71 (02)",资本账户开放:影响因素与国际经验,彭红枫1 谭小玉2 占海伟2,1.山东财经大学金融学院 2.武汉大学经济与管理学院,下载：1294,页码：119-129,页数：11,大小：451K
谭小玉1,世界经济 .,"2017 ,40 (11)",货币国际化:基于成本渠道的影响因素和作用路径研究,彭红枫1 谭小玉1 祝小全2,1.武汉大学经济与管理学院 2.清华大学五道口金融学院,下载：2512,页码：120-143,页数：24,大小：391K
谭小玉1,经济研究 .,"2017 ,52 (02)",人民币国际化研究:程度测算与影响因素分析,彭红枫 谭小玉,武汉大学经济与管理学院金融系,下载：14529,页码：125-139,页数：15,大小：729K
谭小玉1,当代经济科学 .,"2016 ,38 (05)",地域差异如何影响P2P平台借贷的行为——基于“人人贷”的经验证据,彭红枫 杨柳明 谭小玉,武汉大学经济与管理学院,下载：1128,页码：21-34+124-125,页数：16,大小：2096K
谭小玉1,经济经纬 .,"2016 ,33 (05)",中国CPI八大类子成分通胀持续性研究——基于傅里叶变换的SURKSS面板单位根检验,刘志杰 谭小玉,武汉大学经济与管理学院,下载：224,页码：126-131,页数：6,大小：300K
谭小玉1,国际金融研究 .,2015 (10),人民币国际化研究述评,彭红枫 陈文博 谭小玉,武汉大学经济与管理学院金融系,下载：9217,页码：12-20,页数：9,大小：404K
谭小玉1,世界经济研究 .,2015 (01),亚洲货币合作和人民币区域化进程——基于带傅里叶变换的SURADF实证研究,彭红枫 谭小玉 陈文博 李艳丽,武汉大学经济与管理学院,下载：1221,页码：36-47+127,页数：13,大小：523K
谭小玉1,经济评论 .,2014 (05),中国通货膨胀持续性研究——基于面板数据的SURADF实证检验,彭红枫 谭小玉 李艳丽 胡利琴,武汉大学经济与管理学院,下载：444,页码：108-122,页数：15,大小：851K
祝小全2,中国科学基金 .,"2025 ,39 (02)",中国债券市场风险、定价研究进展与服务实体经济的初步实践,祝小全1 梁洛铭1 陈卓2,1.对外经济贸易大学中国金融学院 2.清华大学五道口金融学院,下载：587,页码：329-344,页数：16,大小：2134K
祝小全2,经济研究 .,"2022 ,57 (11)",违约风险传染的避险效应与溢出效应:隐性担保预期的视角,祝小全1 陈卓2 施展2 何治国3,1.对外经济贸易大学金融学院 2.清华大学五道口金融学院 3.芝加哥大学布斯商学院,下载：4291,页码：174-190,页数：17,大小：386K
祝小全2,经济学(季刊) .,"2022 ,22 (03)",“能力”或“运气”:中国私募证券投资基金的多维择时与价值,祝小全1 曹泉伟2 陈卓3,1.对外经济贸易大学金融学院 2.美国宾夕法尼亚州立大学商学院 3.清华大学五道口金融学院,下载：2025,页码：843-866,页数：24,大小：613K
祝小全2,金融研究 .,2021 (10),隐性杠杆约束、流动性风险和投资者情绪,祝小全1 陈卓2,1.对外经济贸易大学金融学院 2.清华大学五道口金融学院,下载：4852,页码：171-189,页数：19,大小：479K
祝小全2,经济研究 .,"2019 ,54 (08)",短期资本流动的多重动机和冲击:基于TVP-VAR模型的动态分析,彭红枫1 祝小全2,1.山东财经大学金融学院 2.清华大学五道口金融学院,下载：10174,页码：36-52,页数：17,大小：3859K
祝小全2,世界经济 .,"2018 ,41 (08)",汇率市场化与资本账户开放的路径选择,彭红枫1 肖祖沔1 祝小全2,1.山东财经大学金融学院 2.清华大学五道口金融学院,下载：2835,页码：26-50,页数：25,大小：1386K
祝小全2,世界经济 .,"2017 ,40 (11)",货币国际化:基于成本渠道的影响因素和作用路径研究,彭红枫1 谭小玉1 祝小全2,1.武汉大学经济与管理学院 2.清华大学五道口金融学院,下载：2512,页码：120-143,页数：24,大小：391K
盛斌,国际经贸探索 .,查看该刊数据库收录来源,数字经济如何影响中国企业出口高质量发展——兼论全国统一大市场建设的调节作用,吕美静1 盛斌2 朱鹏洲3,1.山东财经大学国际经贸学院 2.南开大学经济学院国际经济研究所 3.山东社会科学院国际经济与政治研究所,下载：223,页数：16,大小：1098K,
盛斌,财贸经济 .,查看该刊数据库收录来源,制造业数字化能否提升企业全球价值链韧性——基于“稳链强链延链”视角,盛斌 郝夏珍,南开大学经济学院,下载：731,页数：17,大小：1097K,
盛斌,国际贸易 .,2025 (01),高标准FTAs条款与供应链贸易：动向与应对,"宫毓雯1,2 盛斌3",1.安徽财经大学国际经济贸易学院 2.南开大学经济学院 3.南开大学,下载：507,页码：17-24,页数：8,大小：1276K
盛斌,国际贸易问题 .,2025 (01),“特朗普主义”贸易行为与中美经贸关系,盛斌 靳晨鑫,,下载：3995,页码：19-33,页数：15,大小：1078K
盛斌,北京交通大学学报(社会科学版) .,查看该刊数据库收录来源,全球价值链与国内收入不平等：基于跨国面板的经验分析,盛斌1 郝碧榕2,1.南开大学经济学院 2.中国宏观经济研究院,下载：317,页数：13,大小：704K,
盛斌,北京交通大学学报(社会科学版) .,"2024 ,23 (04)",全球价值链与国内收入不平等：基于跨国面板的经验分析,盛斌1 郝碧榕2,1.南开大学经济学院 2.中国宏观经济研究院,下载：768,页码：27-39,页数：13,大小：1445K
盛斌,南开学报(哲学社会科学版) .,2024 (06),本土创新网络融入与中外价值链关联,李磊1 直银苹1 盛斌1 李川川2,1.南开大学经济学院 2.对外经济贸易大学国际经济研究院,下载：503,页码：65-79,页数：15,大小：1748K
盛斌,世界经济 .,2024 (09),全球生产智能化对中国贸易与福利的影响,马欢1 李磊2 盛斌2 徐刚2,1.东北财经大学国际经济贸易学院 2.南开大学跨国公司研究中心,下载：1402,页码：3-32,页数：30,大小：1282K
盛斌,世界经济 .,"2024 ,47 (09)",全球生产智能化对中国贸易与福利的影响,马欢1 李磊2 盛斌2 徐刚2,1.东北财经大学国际经济贸易学院 2.南开大学跨国公司研究中心,下载：2352,页码：3-32,页数：30,大小：1284K
盛斌,中国工业经济 .,2024 (08),走出产品“舒适区”：企业数字化与出口产品转换,盛斌1 刘宇英2,1.南开大学经济学院 2.南京师范大学商学院,下载：3412,页码：61-79,页数：19,大小：1145K
盛斌,中国工业经济 .,2024 (08),走出产品“舒适区”：企业数字化与出口产品转换,盛斌1 刘宇英2,1.南开大学经济学院 2.南京师范大学商学院,下载：5200,页码：61-79,页数：19,大小：1180K
盛斌,社会科学文摘 .,2024 (08),数字经济与全国统一大市场建设：基于城市层面的研究,盛斌1 吕美静2 朱鹏洲3,1.南开大学经济学院 2.南开大学经济学院国际经济研究所 3.山东社会科学院国际经济与政治研究所,下载：388,页码：85-87,页数：3,大小：944K
盛斌,国际贸易问题 .,2024 (06),数字经济发展如何赋能中国经济双循环——基于省份——行业层面的研究,盛斌1 吕美静1 朱鹏洲2,1.南开大学经济学院 2.山东社会科学院国际经济与政治研究所,下载：2422,页码：1-20,页数：20,大小：977K
盛斌,国际经贸探索 .,查看该刊数据库收录来源,跨境数据流动与数字贸易：国内监管与国际规则,高疆1 盛斌2,1.上海社会科学院世界经济研究所 2.南开大学经济学院国际经济研究所,下载：1427,页数：19,大小：940K,
盛斌,国际经贸探索 .,"2024 ,40 (06)",跨境数据流动与数字贸易：国内监管与国际规则,高疆1 盛斌2,1.上海社会科学院世界经济研究所 2.南开大学经济学院国际经济研究所,下载：4297,页码：102-120,页数：19,大小：1081K
盛斌,求是学刊 .,"2024 ,51 (03)",数字经济与全国统一大市场建设：基于城市层面的研究,"盛斌1,2 吕美静3 朱鹏洲4",1.南开大学 2.南开大学经济学院 3.南开大学经济学院国际经济研究所 4.山东社会科学院国际经济与政治研究所,下载：2212,页码：1-18,页数：18,大小：1393K
盛斌,国际经贸探索 .,查看该刊数据库收录来源,服务业开放如何促进企业出口国内附加值率提升——两业融合的视角,"盛斌1 朱鹏洲1,2 吕美静1",1.南开大学经济学院国际经济研究所 2.山东社会科学院国际经济与政治研究所,下载：392,页数：20,大小：1527K,
盛斌,国际经贸探索 .,"2024 ,40 (02)",服务业开放如何促进企业出口国内附加值率提升——两业融合的视角,"盛斌1 朱鹏洲1,2 吕美静1",1.南开大学经济学院国际经济研究所 2.山东社会科学院国际经济与政治研究所,下载：2073,页码：4-23,页数：20,大小：1552K
盛斌,世界经济研究 .,2023 (10),服务业开放对劳动收入份额的影响：来自中国制造业企业的证据,盛斌 朱鹏洲,南开大学经济学院国际经济研究所,下载：1937,页码：3-17+135,页数：16,大小：1045K
